shipment_id,origin_port_id,destination_port_id,carrier_id,departure_date,scheduled_arrival,actual_arrival,cost_usd,status,delay_days,is_on_time,transit_days,departure_month,departure_year,carrier_name,carrier_type,rating,carrier_country,origin_port_name,origin_region,origin_congestion,origin_congestion_level,dest_port_name,dest_region,dest_congestion,dest_congestion_level,origin_weather_severity,origin_wind_kmh,route
SHP00001,P011,P002,C001,2024-01-30,2024-02-13,2024-02-13,2811.92,Delivered,0.0,True,14.0,2024-01,2024,Maersk Line,Ocean,4.5,Denmark,Tanjung Pelepas,Asia Pacific,0.6,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,26.0,Tanjung Pelepas → Singapore
SHP00002,P010,P007,C001,2022-01-31,2022-02-05,2022-02-05,1847.26,Delivered,0.0,True,5.0,2022-01,2022,Maersk Line,Ocean,4.5,Denmark,Colombo,South Asia,0.55,Low,Busan,Asia Pacific,0.78,High,0.0,33.5,Colombo → Busan
SHP00003,P004,P012,C009,2023-03-06,2023-03-19,2023-03-19,2851.59,Delivered,0.0,True,13.0,2023-03,2023,Hapag-Lloyd,Ocean,4.0,Germany,Los Angeles,North America,0.85,Critical,Long Beach,North America,0.83,High,0.0,5.4,Los Angeles → Long Beach
SHP00004,P007,P006,C005,2022-06-09,2022-07-02,2022-07-02,4361.3,Delivered,0.0,True,23.0,2022-06,2022,DHL Global,Air,4.7,Germany,Busan,Asia Pacific,0.78,High,Hamburg,Europe,0.62,Medium,3.0,77.1,Busan → Hamburg
SHP00005,P002,P007,C006,2023-09-11,2023-09-25,2023-09-25,1759.95,Delivered,0.0,True,14.0,2023-09,2023,FedEx Freight,Air,4.6,USA,Singapore,Asia Pacific,0.71,Medium,Busan,Asia Pacific,0.78,High,0.0,19.1,Singapore → Busan
SHP00006,P009,P005,C010,2024-06-25,2024-07-18,2024-07-18,4752.2,In Transit,0.0,True,23.0,2024-06,2024,COSCO Shipping,Ocean,3.6,China,New York / NJ,North America,0.8,High,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,19.7,New York / NJ → Dubai (Jebel Ali)
SHP00007,P005,P002,C004,2024-06-06,2024-06-14,2024-06-14,2144.79,Delivered,0.0,True,8.0,2024-06,2024,Evergreen Marine,Ocean,3.8,Taiwan,Dubai (Jebel Ali),Middle East,0.74,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Dubai (Jebel Ali) → Singapore
SHP00008,P005,P012,C002,2023-09-16,2023-10-06,2023-10-06,3846.49,Delivered,0.0,True,20.0,2023-09,2023,MSC,Ocean,4.3,Switzerland,Dubai (Jebel Ali),Middle East,0.74,Medium,Long Beach,North America,0.83,High,0.0,22.8,Dubai (Jebel Ali) → Long Beach
SHP00009,P005,P012,C009,2022-08-13,2022-09-05,2022-09-05,5420.11,Delivered,0.0,True,23.0,2022-08,2022,Hapag-Lloyd,Ocean,4.0,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,Long Beach,North America,0.83,High,0.0,22.8,Dubai (Jebel Ali) → Long Beach
SHP00010,P005,P002,C004,2023-08-04,2023-08-17,2023-08-17,2352.89,Delivered,0.0,True,13.0,2023-08,2023,Evergreen Marine,Ocean,3.8,Taiwan,Dubai (Jebel Ali),Middle East,0.74,Medium,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Dubai (Jebel Ali) → Singapore
SHP00011,P011,P008,C003,2022-09-29,2022-10-21,2022-10-21,5367.08,Delivered,0.0,True,22.0,2022-09,2022,CMA CGM,Ocean,4.1,France,Tanjung Pelepas,Asia Pacific,0.6,Medium,Antwerp,Europe,0.65,Medium,0.0,22.8,Tanjung Pelepas → Antwerp
SHP00012,P007,P006,C004,2022-05-22,2022-06-19,2022-06-19,6514.01,Delivered,0.0,True,28.0,2022-05,2022,Evergreen Marine,Ocean,3.8,Taiwan,Busan,Asia Pacific,0.78,High,Hamburg,Europe,0.62,Medium,0.0,22.9,Busan → Hamburg
SHP00013,P003,P012,C003,2024-03-22,2024-04-06,2024-04-06,753.48,Delivered,0.0,True,15.0,2024-03,2024,CMA CGM,Ocean,4.1,France,Rotterdam,Europe,0.68,Medium,Long Beach,North America,0.83,High,0.0,22.8,Rotterdam → Long Beach
SHP00014,P009,P001,C002,2023-11-30,2023-12-22,2023-12-22,5412.31,Delivered,0.0,True,22.0,2023-11,2023,MSC,Ocean,4.3,Switzerland,New York / NJ,North America,0.8,High,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,New York / NJ → Shanghai
SHP00015,P005,P008,C003,2023-04-10,2023-04-18,2023-04-18,2487.65,Delivered,0.0,True,8.0,2023-04,2023,CMA CGM,Ocean,4.1,France,Dubai (Jebel Ali),Middle East,0.74,Medium,Antwerp,Europe,0.65,Medium,0.0,22.8,Dubai (Jebel Ali) → Antwerp
SHP00016,P002,P012,C005,2024-05-11,2024-06-02,2024-06-02,3677.36,In Transit,0.0,True,22.0,2024-05,2024,DHL Global,Air,4.7,Germany,Singapore,Asia Pacific,0.71,Medium,Long Beach,North America,0.83,High,1.0,8.1,Singapore → Long Beach
SHP00017,P009,P001,C010,2022-11-28,2022-12-19,2022-12-21,5058.61,Delayed,2.0,False,23.0,2022-11,2022,COSCO Shipping,Ocean,3.6,China,New York / NJ,North America,0.8,High,Shanghai,Asia Pacific,0.92,Critical,0.0,22.8,New York / NJ → Shanghai
SHP00018,P001,P005,C010,2022-03-22,2022-03-30,2022-03-30,1721.15,Delivered,0.0,True,8.0,2022-03,2022,COSCO Shipping,Ocean,3.6,China,Shanghai,Asia Pacific,0.92,Critical,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Shanghai → Dubai (Jebel Ali)
SHP00019,P009,P003,C003,2023-11-07,2023-11-20,2023-11-20,1456.0,Delivered,0.0,True,13.0,2023-11,2023,CMA CGM,Ocean,4.1,France,New York / NJ,North America,0.8,High,Rotterdam,Europe,0.68,Medium,2.0,84.7,New York / NJ → Rotterdam
SHP00020,P009,P004,C005,2023-02-13,2023-03-05,2023-03-05,2526.86,Delivered,0.0,True,20.0,2023-02,2023,DHL Global,Air,4.7,Germany,New York / NJ,North America,0.8,High,Los Angeles,North America,0.85,Critical,0.0,20.4,New York / NJ → Los Angeles
SHP00021,P002,P005,C004,2022-03-07,2022-03-17,2022-03-28,2058.81,Delayed,11.0,False,21.0,2022-03,2022,Evergreen Marine,Ocean,3.8,Taiwan,Singapore,Asia Pacific,0.71,Medium,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Singapore → Dubai (Jebel Ali)
SHP00022,P001,P005,C002,2022-02-02,2022-02-16,2022-02-16,2113.18,Delivered,0.0,True,14.0,2022-02,2022,MSC,Ocean,4.3,Switzerland,Shanghai,Asia Pacific,0.92,Critical,Dubai (Jebel Ali),Middle East,0.74,Medium,0.0,22.8,Shanghai → Dubai (Jebel Ali)
SHP00023,P008,P004,C009,2022-05-16,2022-05-31,2022-05-31,1840.15,Delivered,0.0,True,15.0,2022-05,2022,Hapag-Lloyd,Ocean,4.0,Germany,Antwerp,Europe,0.65,Medium,Los Angeles,North America,0.85,Critical,0.0,18.8,Antwerp → Los Angeles
SHP00024,P004,P002,C002,2023-11-06,2023-11-26,2023-11-26,3688.32,Delivered,0.0,True,20.0,2023-11,2023,MSC,Ocean,4.3,Switzerland,Los Angeles,North America,0.85,Critical,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,Los Angeles → Singapore
SHP00025,P001,P012,C002,2022-03-04,2022-03-24,2022-03-24,4603.09,Delivered,0.0,True,20.0,2022-03,2022,MSC,Ocean,4.3,Switzerland,Shanghai,Asia Pacific,0.92,Critical,Long Beach,North America,0.83,High,0.0,22.8,Shanghai → Long Beach
SHP00026,P003,P008,C003,2022-10-13,2022-10-30,2022-10-30,3447.72,Delivered,0.0,True,17.0,2022-10,2022,CMA CGM,Ocean,4.1,France,Rotterdam,Europe,0.68,Medium,Antwerp,Europe,0.65,Medium,1.0,12.6,Rotterdam → Antwerp
SHP00027,P009,P002,C001,2023-10-30,2023-11-21,2023-11-21,5642.33,Delivered,0.0,True,22.0,2023-10,2023,Maersk Line,Ocean,4.5,Denmark,New York / NJ,North America,0.8,High,Singapore,Asia Pacific,0.71,Medium,0.0,22.8,New York / NJ → Singapore
SHP00028,P008,P009,C004,2024-06-04,2024-06-17,2024-06-17,1645.53,In Transit,0.0,True,13.0,2024-06,2024,Evergreen Marine,Ocean,3.8,Taiwan,Antwerp,Europe,0.65,Medium,New York / NJ,North America,0.8,High,0.0,34.5,Antwerp → New York / NJ
SHP00029,P005,P009,C005,2023-03-10,2023-04-05,2023-04-05,5024.38,Delivered,0.0,True,26.0,2023-03,2023,DHL Global,Air,4.7,Germany,Dubai (Jebel Ali),Middle East,0.74,Medium,New York / NJ,North America,0.8,High,0.0,22.8,Dubai (Jebel Ali) → New York / NJ
SHP00030,P012,P009,C001,2024-02-05,2024-02-20,2024-02-25,3152.96,Delayed,5.0,False,20.0,2024-02,2024,Maersk Line,Ocean,4.5,Denmark,Long Beach,North America,0.83,High,New York / NJ,North America,0.8,High,1.0,14.0,Long Beach → New York / NJ
SHP00031,P009,P003,C001,2023-06-05,2023-06-15,2023-06-15,2953.06,Delivered,0.0,True,10.0,2023-06,2023,Maersk Line,Ocean,4.5,Denmark,New York / NJ,North America,0.8,High,Rotterdam,Europe,0.68,Medium,0.0,22.8,New York / NJ → Rotterdam
SHP00032,P010,P004,C010,2023-09-01,2023-09-11,2023-09-11,2818.0,Delivered,0.0,True,10.0,2023-09,2023,COSCO Shipping,Ocean,3.6,China,Colombo,South Asia,0.55,Low,Los Angeles,North America,0.85,Critical,0.0,22.8,Colombo → Los Angeles
